"time","V1","V2","Va","D","y1 (% relative to rated power)","y2 (% relative to rated power)","out1","out2"
"11/01/2010 17:30",6.1,6.1,5.9491643651771,97.6,15.5393939393939,16.6121212121212,0,0
"11/01/2010 17:40",4.9,5.9,5.75415689907427,100.3,6.48484848484849,16.7636363636364,0,0
"11/01/2010 17:50",5.8,5.7,5.55846993392799,99.2,10.3939393939394,12.4424242424242,0,0
"11/01/2010 18:00",6.7,6.2,6.04370204886437,98.8,19.9212121212121,19.169696969697,0,0
"11/01/2010 18:10",6.2,5.7,5.55460474326884,100,16.2727272727273,16.1393939393939,0,0
"11/01/2010 18:20",6.5,6.1,5.94337869791949,107.1,16.230303030303,20.2424242424242,0,0
"11/01/2010 18:30",6.6,7.2,7.01398610569671,100.3,13.1515151515152,27.2787878787879,0,0
"11/01/2010 18:40",6.8,6.8,6.62393651843717,96.5,22.1333333333333,24.6969696969697,0,0
"11/01/2010 18:50",6.7,6.1,5.94041068638289,99.9,20.2060606060606,17.8666666666667,0,0
"11/01/2010 19:00",7.4,6.4,6.23128892658932,97,28,24.1575757575758,0,0
"11/01/2010 19:10",7.3,7.2,7.00763665386802,81.8,26.569696969697,27.5575757575758,0,0
"11/01/2010 19:20",6.7,6.4,6.2298877153009,90.7,20.1151515151515,21.0909090909091,0,0
"11/01/2010 19:30",7.4,6.5,6.32673830834478,88.5,28.7212121212121,23.0848484848485,0,0
"11/01/2010 19:40",6.9,7,6.81333052099589,92.8,24.2,26.9939393939394,0,0
"11/01/2010 19:50",6.7,6.4,6.22947698704257,84.3,18.8787878787879,20.769696969697,0,0
"11/01/2010 20:00",7.5,6.7,6.52245547415233,84.1,26.2545454545455,23.2787878787879,0,0
"11/01/2010 20:10",6.9,6.9,6.71713132003971,80,23.7393939393939,25.3939393939394,0,0
"11/01/2010 20:20",6.4,5.8,5.64524925395523,82.2,16.3272727272727,15.1636363636364,0,0
"11/01/2010 20:30",7.1,7.2,7.00625146730882,91.5,22.1515151515152,28.9151515151515,0,0
"11/01/2010 20:40",6.8,6.8,6.61541033463627,96.1,23.1272727272727,26.0424242424242,0,0
"11/01/2010 20:50",7.6,7.4,7.19853252505067,96.2,30.4606060606061,31.6848484848485,0,0
"11/01/2010 21:00",7.3,7.1,6.9062646655684,83.7,27.6666666666667,29.5030303030303,0,0
"11/01/2010 21:10",7.6,7.2,7.00347931524612,91,31.0242424242424,29.8242424242424,0,0
"11/01/2010 21:20",8.7,7.4,7.19731996141981,81.4,42.8060606060606,33.3575757575758,0,0
"11/01/2010 21:30",8.3,7.6,7.39194916071186,77.77,39.9272727272727,34.969696969697,0,0
"11/01/2010 21:40",7.6,7.3,7.10076950870763,86.8,30.9454545454545,30.4181818181818,0,0
"11/01/2010 21:50",7.8,7.6,7.39336143360553,86.6,33.8606060606061,32.7454545454545,0,0
"11/01/2010 22:00",7.3,7.2,7.00475498047175,82.8,25.9212121212121,29.7515151515152,0,0
"11/01/2010 22:10",7.4,6.7,6.52007725436934,82.1,27.8181818181818,22.6727272727273,0,0
"11/01/2010 22:20",8.2,6.8,6.61920777269176,81.6,36.6727272727273,24.5212121212121,0,0
"11/01/2010 22:30",9.1,6.9,6.71760464078398,75.6,50.2,26.1393939393939,0,0
"11/01/2010 22:40",8.9,7.3,7.1079557404846,80.9,48.3575757575758,29.1030303030303,0,0
"11/01/2010 22:50",8.7,7.1,6.91402971512248,80.9,43.8666666666667,29.4666666666667,0,0
"11/01/2010 23:00",8.9,6.9,6.71990026290818,79.54,47.1757575757576,26.2242424242424,0,0
"11/01/2010 23:10",9.2,7.3,7.11076545585527,78.41,52.5333333333333,30.9636363636364,0,0
"11/01/2010 23:20",9,7.7,7.50165924779856,78.56,46.8121212121212,35.2909090909091,0,0
"11/01/2010 23:30",9.7,7.7,7.50178151913097,78.9,58.8484848484849,35.9454545454545,0,0
"11/01/2010 23:40",10.1,8,7.79485631791054,80.2,67.1939393939394,39.1939393939394,0,0
"11/01/2010 23:50",10.2,8.2,7.99035740291021,78.9,68.7272727272727,42.1333333333333,0,0
"11/02/2010 00:00",10.5,7.9,7.69790872760593,77.36,77.9878787878788,40.9151515151515,0,0
"11/02/2010 00:10",10.4,8,7.79696832215248,79.08,76.8666666666667,44.2545454545455,0,0
"11/02/2010 00:20",10.6,8.1,7.89626320593113,79.91,80.3333333333333,45.4787878787879,0,0
"11/02/2010 00:30",10.5,9.1,8.87260762218896,80.8,75.7454545454545,57.7757575757576,0,0
"11/02/2010 00:40",11,9.8,9.55538492229153,83.4,82.3757575757576,66.6,0,0
"11/02/2010 00:50",11.3,9.3,9.06818628114383,84.3,87.1272727272727,59.2181818181818,0,0
"11/02/2010 01:00",11,10.8,10.533742908767,84.4,84.4787878787879,82.230303030303,0,0
"11/02/2010 01:10",10.7,10.2,9.94994530892925,85,77.9818181818182,72.4848484848485,0,0
"11/02/2010 01:20",9.8,11,10.7335538164259,85.9,65.4787878787879,84.4484848484849,0,0
"11/02/2010 01:30",9.6,10.1,9.85738139833233,86.4,61.9212121212121,75.369696969697,0,0
"11/02/2010 01:40",9.6,9.9,9.66336438479114,86.1,62.2242424242424,72.7818181818182,0,0
"11/02/2010 01:50",9.9,10.4,10.152014022444,87,66.7393939393939,79.5272727272727,0,0
"11/02/2010 02:00",9.9,10.8,10.5428887688354,86.6,64.230303030303,83.2242424242424,0,0
"11/02/2010 02:10",10.4,10.8,10.543426356031,86.7,73.569696969697,84.3515151515151,0,0
"11/02/2010 02:20",10.7,11.5,11.2291908666502,87.2,77.569696969697,92.8848484848485,0,0
"11/02/2010 02:30",10.5,11.2,10.9384595588162,86.7,74.5333333333333,90.3939393939394,0,0
"11/02/2010 02:40",10.4,11.3,11.0386407855908,87.4,76.769696969697,91.4848484848485,0,0
"11/02/2010 02:50",10.7,11.5,11.2356149609392,88.8,77.0848484848485,93.2787878787879,0,0
"11/02/2010 03:00",10.9,11.2,10.9416931064146,89.2,80.0909090909091,90.8,0,0
"11/02/2010 03:10",11.3,10.6,10.3555309757138,91.3,86.6242424242424,82.9757575757576,0,0
"11/02/2010 03:20",10.9,10.3,10.0636808282777,93.8,81.169696969697,75.9212121212121,0,0
"11/02/2010 03:30",10.2,9.6,9.381446273923,94.1,67.5878787878788,65.4666666666667,0,0
"11/02/2010 03:40",9.8,9.6,9.38386520011922,94,61.8787878787879,64.1030303030303,0,0
"11/02/2010 03:50",10,9.6,9.38766108185435,93.4,64.6363636363636,65.4484848484849,0,0
"11/02/2010 04:00",10.4,9.6,9.39072372219396,94.6,71.9393939393939,64.4727272727273,0,0
"11/02/2010 04:10",10.3,9.7,9.49073707044244,97.7,73.8666666666667,68.1030303030303,0,0
"11/02/2010 04:20",10.8,9.9,9.68850204366187,95.8,79.8,71.3151515151515,0,0
"11/02/2010 04:30",11,10.4,10.1766172046969,95.3,83.8,77.7090909090909,0,0
"11/02/2010 04:40",11.1,10.4,10.1754514135095,96.3,84.3636363636364,79.9878787878788,0,0
"11/02/2010 04:50",11,10.9,10.6651258449678,97.6,84.0121212121212,84.9454545454545,0,0
"11/02/2010 05:00",11.2,11,10.7638810413202,100,86.3575757575758,87.4242424242424,0,0
"11/02/2010 05:10",11.4,10.6,10.3731344931206,101.4,88.2545454545455,82.7515151515152,0,0
"11/02/2010 05:20",11.4,10.6,10.3740495924155,102.6,88.7393939393939,83.5515151515151,0,0
"11/02/2010 05:30",11.2,10.4,10.1809017248477,103,84.4363636363636,81.1939393939394,0,0
"11/02/2010 05:40",10.7,9.8,9.59590405768304,101.6,76.830303030303,71.4242424242424,0,0
"11/02/2010 05:50",10.3,9.4,9.20679928904689,102.3,68.9757575757576,65.2787878787879,0,0
"11/02/2010 06:00",10.1,9.7,9.50181485086978,100.8,64.2909090909091,69.7636363636364,0,0
"11/02/2010 06:10",10.1,9.9,9.6973911432114,101.5,65.6363636363636,69.8848484848485,0,0
"11/02/2010 06:20",10.3,9.6,9.40473472322707,101.5,68.6969696969697,66.5878787878788,0,0
"11/02/2010 06:30",10.2,10,9.79902694281799,97.4,69.7515151515152,68.6727272727273,0,0
"11/02/2010 06:40",10.5,10.2,9.99493509447386,100,72.6727272727273,72.6545454545455,0,0
"11/02/2010 06:50",10.2,9.8,9.60480729519874,101.9,68.1878787878788,65.9878787878788,0,0
"11/02/2010 07:00",9.7,9.1,8.92255865679348,98.8,59.5151515151515,57.3333333333333,0,0
"11/02/2010 07:10",9.7,9.4,9.21782576705812,99.1,59.1878787878788,63.0848484848485,0,0
"11/02/2010 07:20",10.2,9.7,9.51138275286713,100.3,67.1151515151515,68.8424242424242,0,0
"11/02/2010 07:30",10.1,9.6,9.41599569845208,100,66.4909090909091,64.5030303030303,0,0
"11/02/2010 07:40",9.9,9.7,9.51667477653002,101.4,62.4787878787879,68.2181818181818,0,0
